"prov","type","signif_week"
"Laguna","Sepsis","2018-37"
"Laguna","Sepsis","2018-38"
"Laguna","Sepsis","2018-39"
"Laguna","Sepsis","2018-40"
"Laguna","Sepsis","2018-41"
"Laguna","Sepsis","2018-42"
"Laguna","Sepsis","2018-43"
"Laguna","Sepsis","2018-44"
"Laguna","Sepsis","2018-45"
"Laguna","Sepsis","2018-46"
"Laguna","Sepsis","2018-47"
"Laguna","Sepsis","2018-48"
"Laguna","Sepsis","2018-49"
"Laguna","Sepsis","2018-50"
"Rizal","Sepsis","2016-19"
"Rizal","Sepsis","2016-20"
"Rizal","Sepsis","2016-21"
"Rizal","Sepsis","2016-22"
"Rizal","Sepsis","2016-23"
"Rizal","Sepsis","2016-24"
"Rizal","Sepsis","2016-25"
"Rizal","Sepsis","2016-26"
"Rizal","Sepsis","2016-27"
"Rizal","Sepsis","2016-28"
"Rizal","Sepsis","2016-29"
"Rizal","Sepsis","2016-30"
"Rizal","Sepsis","2016-31"
"Rizal","Sepsis","2016-32"
"Rizal","Sepsis","2016-33"
"Rizal","Sepsis","2016-34"
"Rizal","Sepsis","2016-35"
"Rizal","Sepsis","2016-36"
"Rizal","Sepsis","2016-37"
"Rizal","Sepsis","2016-38"
"Rizal","Sepsis","2016-39"
"Rizal","Sepsis","2016-40"
"Rizal","Sepsis","2016-41"
"Rizal","Sepsis","2016-42"
"Rizal","Sepsis","2016-43"
"Rizal","Sepsis","2016-44"
"Rizal","Sepsis","2016-45"
"Rizal","Sepsis","2016-46"
"Rizal","Sepsis","2016-47"
"Rizal","Sepsis","2016-48"
"Rizal","Sepsis","2016-49"
"Rizal","Sepsis","2016-50"
"Rizal","Sepsis","2016-51"
"Rizal","Sepsis","2016-52"
"Rizal","Sepsis","2017-01"
"Rizal","Sepsis","2017-02"
"Rizal","Sepsis","2017-03"
"Rizal","Sepsis","2017-04"
"Rizal","Sepsis","2017-05"
"Rizal","Sepsis","2017-06"
"Rizal","Sepsis","2017-07"
"Rizal","Sepsis","2017-08"
"Rizal","Sepsis","2017-09"
"Rizal","Sepsis","2017-10"
"Rizal","Sepsis","2017-11"
"Rizal","Sepsis","2017-12"
"Rizal","Sepsis","2017-13"
"Rizal","Sepsis","2017-14"
"Rizal","Sepsis","2017-15"
"Rizal","Sepsis","2017-16"
"Rizal","Sepsis","2017-17"
"Rizal","Sepsis","2017-18"
"Leyte","Sepsis","2016-19"
"Leyte","Sepsis","2016-20"
